Equipment,Number,Category,Install Date,Id,Photo
 Radar reflector.,1,Safety,2003,146,
ACR 406 MHz Globalfix EPIR,1,Safety,2009,155,
ACR 406 MHz Globalfix Pro EPIR w/hydrostatic release,1,Safety,2009,154,
ACR ResQLink Buoyant 406 MHz Personal Locator Beacon,2,Safety,2012,166,
Adjustable boat hooks,2,Safety,2010,162,
ATN Mast Climber,1,Safety,2010,164,
Bilge water level alarm,1,Safety,2010,165,
DSB Deutshce Schlauchboot GmbH 6 man life raft w/rigid container--requires re-certification,1,Safety,2009,151,
Hammar H20 hydrostatic life raft release,1,Safety,2009,152,
Harken bosun chair,1,Safety,2010,163,
Jack liness,2,Safety,2010,159,
Mooring lines,600+ ft,Safety,2010,161,
Novarina 11ft dinghy (fully reconditioned 2018)),1,Safety,2003,148,
"Taylor White Super Guard 10.5"" x 30""Fenders",2,Safety,2010,167,
Safety harnesses w/ quick release tethers,2,Safety,2010,158,
Switlik MOB-8A man overboard --requires re-certification,1,Safety,2009,153,
"TalyorMade Blue Big B 10"" X 28"" fenders",7,Safety,2010,160,
Coast Guard Approved Off-Shore Llife jackets,7,Safety,2010,156,
40 ST Andersen above deck variable speed electric winches ,2,Sails,2013,178,<img src='../img/3774e.jpg'  />
62 ST Andersen above deck variable speed electric winches ,2,Sails,2013,177,<img src='../img/3773.jpg'  />
Adjustable AmSteel-Blue running backstays ,2,Sails,2013,180,
All new stainless steel standing rigging,8,Sails,2014,181,
Andersen low profile winch for traveler,1,Sails,1989,171,
Garhauer stainless steel boom vang,1,Sails,2010,176,
Hood 130% furling genoa,1,Sails,2003,172,
Hood roller furling staysail,1,Sails,2003,174,
Hood roller stoway mainsail,1,Sails,2003,173,
Large gennaker,1,Sails,2010,175,
"Main halyard winch, Lewmar 46 STC (two speed)",1,Sails,1989,169,
"Jib halyard winch, Lewmar 40 STC (two speed)",1,Sails,1989,168,
"Staysail halyard winch, Lewmar 30 STC (two speed)",1,Sails,1989,170,
Rebuilt in-mast furler,1,Sails,2013,179,
Schaefer 3100 Genoa furler ,1,Sails,2014,183,
Shaefer 2100 staysail furler (-30%),1,Sails,2014,182,
Boston barometer,1,Salon,,,
Boston Clock,1,Salon,,,
Fresh water deck outlet,1,water,2009,44,
