SourceFile,Title,Description
/media/jim/DOS/Windsong-Sale/IMG_3860_2_2.jpg," Lewmar 250T Bow Thruster Propeller",mech
/media/jim/DOS/Windsong-Sale/IMG_3860_3.jpg,Bow Thruster Propeller,mech
/media/jim/DOS/Windsong-Sale/IMG_3863.jpg,Windsong Rudder,hull
/media/jim/DOS/Windsong-Sale/IMG_3866_2.jpg,Max-Prop Classic Feathering Propeller,mech
/media/jim/DOS/Windsong-Sale/IMG_3912.jpg,"Lifeline Class D AGM Motor Starter Battery ",mech
/media/jim/DOS/Windsong-Sale/IMG_3915.jpg,Spectra Cape Horn Extreme Water Maker Membrane and Pump,mech
/media/jim/DOS/Windsong-Sale/IMG_3920.jpg,Salon Starboard Side,salon
/media/jim/DOS/Windsong-Sale/IMG_3921_2.jpg,Salon Liquor Cabinet,salon
/media/jim/DOS/Windsong-Sale/IMG_3931.jpg,Pactor P$ Dragon Modem & SWR Meter,nav
/media/jim/DOS/Windsong-Sale/IMG_3933.jpg,Icom 801 SSB with Antenna Tuner and Kenwood Stereo Receiver,nav
/media/jim/DOS/Windsong-Sale/IMG_3936e.jpg,Garmen 200 VHF with Wireless Remote,nav
/media/jim/DOS/Windsong-Sale/IMG_3936e_2.jpg,Blue Sea 12 Volt Distribution Panel,nav
/media/jim/DOS/Windsong-Sale/IMG_3937.jpg,Captains Chairs,salon
/media/jim/DOS/Windsong-Sale/IMG_3938.jpg,Salon Wine Cabinet,salon
/media/jim/DOS/Windsong-Sale/IMG_3947-Edit-2.jpg,Garmin Autopilot Class B Compact Drive Unit,nav
/media/jim/DOS/Windsong-Sale/IMG_3947_Edit_2.jpg,Garmin Autopilot Class B Compact Drive Unit,hull
/media/jim/DOS/Windsong-Sale/IMG_3951.jpg,Garmen 7608 Touchscreen Chart Plotter,nav
/media/jim/DOS/Windsong-Sale/IMG_4022.jpg,Windsong Transom,full hull
/media/jim/DOS/Windsong-Sale/IMG_4023.jpg,Mooring Line Chock,hull
/media/jim/DOS/Windsong-Sale/IMG_4042.jpg,Windsong Starboard Aft,full hull
/media/jim/DOS/Windsong-Sale/IMG_4044_Edit_2.jpg,Tashing Brass Threshold Plate,hull
/media/jim/DOS/Windsong-Sale/IMG_4045_Edit.jpg,Stainless Steel Chock,hull
/media/jim/DOS/Windsong-Sale/IMG_4048-2.jpg,Foredeck Viewed From  Dodger,hull
/media/jim/DOS/Windsong-Sale/IMG_4048_2.jpg,Foredeck viewed from  Dodger,hull
/media/jim/DOS/Windsong-Sale/IMG_4054_2.jpg,Rigid Boom Vang,sails
/media/jim/DOS/Windsong-Sale/IMG_4056.jpg,Main Sail Furler Spool,sails
/media/jim/DOS/Windsong-Sale/IMG_4059_2.jpg,Maxwell 3500 Windless,mech
/media/jim/DOS/Windsong-Sale/IMG_4061_2.jpg,Stainless Steel Cleat and Toe Rail,hull
/media/jim/DOS/Windsong-Sale/IMG_4062.jpg,Schaefer Genoa Furler,sails
/media/jim/DOS/Windsong-Sale/IMG_4064-2.jpg,Hard Dodger,full hull
/media/jim/DOS/Windsong-Sale/IMG_4064_2.jpg,Hard Dodger,hull
/media/jim/DOS/Windsong-Sale/IMG_4068.jpg,Jib Halyard Winches,sails
/media/jim/DOS/Windsong-Sale/IMG_4074_2.jpg,Andersen 40 Electric Stainless Stell Variable Speed Winch,sails
/media/jim/DOS/Windsong-Sale/IMG_4080_2.jpg,Andersen 62 Electric Stainless Stell Variable Speed Winch,sails
/media/jim/DOS/Windsong-Sale/IMG_4082_2.jpg,Engine Room Fan Vent,mech
/media/jim/DOS/Windsong-Sale/IMG_4086-2.jpg,Cockpit From Stern(w/o cushions),full hull
/media/jim/DOS/Windsong-Sale/IMG_4086_2.jpg,Cockpit From Stern(w/o cushions),hull
/media/jim/DOS/Windsong-Sale/IMG_4088_2.jpg,Genoa Sheet Truning Block,sails
/media/jim/DOS/Windsong-Sale/IMG_4089.jpg,BBQ,galley
/media/jim/DOS/Windsong-Sale/IMG_4093-2.jpg,Fiberglass Propane Tank,galley
/media/jim/DOS/Windsong-Sale/IMG_4093_2.jpg,Fiberglass Propane Tank,Galley
/media/jim/DOS/Windsong-Sale/IMG_4094_2.jpg,Andersen Traveller Winch,sails
/media/jim/DOS/Windsong-Sale/IMG_4101-2.jpg,Windsong Hull Starboard Front View,full hull
/media/jim/DOS/Windsong-Sale/IMG_4101_2.jpg,Windsong Hull Starboard Front View,hull
/media/jim/DOS/Windsong-Sale/IMG_4135-2.jpg,Dorade,full hull
/media/jim/DOS/Windsong-Sale/IMG_4135_2.jpg,Dorade,hull
/media/jim/DOS/Windsong-Sale/IMG_4138.jpg,Garmin 7612 Chart Plotter,nav
/media/jim/DOS/Windsong-Sale/IMG_4141-2.jpg,Hard Dodger from Aft,full hull
/media/jim/DOS/Windsong-Sale/IMG_4141_2.jpg,Hard Dodger from Aft,hull
/media/jim/DOS/Windsong-Sale/IMG_4142-2.jpg,Cockpit Table,full hull
/media/jim/DOS/Windsong-Sale/IMG_4142_2.jpg,Cockpit Table,hull
/media/jim/DOS/Windsong-Sale/IMG_4143-2.jpg,Yanmar Motor Control Panel,mech
/media/jim/DOS/Windsong-Sale/IMG_4143_2.jpg,Yanmar Motor Control Panel,mech
/media/jim/DOS/Windsong-Sale/IMG_4147-2.jpg,Flag Pole,full hull
/media/jim/DOS/Windsong-Sale/IMG_4147_2.jpg,Flag Pole,hull
/media/jim/DOS/Windsong-Sale/IMG_4149_2.jpg,BBQ,galley
/media/jim/DOS/Windsong-Sale/IMG_4150_2.jpg,Garbaud Motor Crane,mech
/media/jim/DOS/Windsong-Sale/IMG_4153-2.jpg,Cockpit with Cusiions,full hull
/media/jim/DOS/Windsong-Sale/IMG_4153_2.jpg,Cockpit with Cusiions,hull
/media/jim/DOS/Windsong-Sale/IMG_4154-2.jpg,Foredeck from behind Cockpit,full hull
/media/jim/DOS/Windsong-Sale/IMG_4154_2.jpg,Foredeck from behind Cockpit,hull
/media/jim/DOS/Windsong-Sale/IMG_4198-2.jpg,Guest Cabin Mattress Mat,guest cabin
/media/jim/DOS/Windsong-Sale/IMG_4198_2.jpg,Guest Cabin Mattress Mat,guest
/media/jim/DOS/Windsong-Sale/IMG_4208_Edit_2.jpg,Life Raft,safety
/media/jim/DOS/Windsong-Sale/IMG_4209_2.jpg,Man Over Board Module,safety
/media/jim/DOS/Windsong-Sale/IMG_4213_2_2.jpg,AIS and Sat Phone Antennas,nav
/media/jim/DOS/Windsong-Sale/IMG_4237_HDR_2.jpg,Navigation Station,nav
/media/jim/DOS/Windsong-Sale/IMG_4270-HDR-2.jpg,Salon Cocktail Table,salon
/media/jim/DOS/Windsong-Sale/IMG_4270_HDR_2.jpg,Salon Cocktail Table,Salon
/media/jim/DOS/Windsong-Sale/IMG_4271-HDR-Edit-2.jpg,Captain's Chairs,salon
/media/jim/DOS/Windsong-Sale/IMG_4271_HDR_Edit_2.jpg,Captain's Chairs,Salon
/media/jim/DOS/Windsong-Sale/IMG_4277-HDR-2.jpg,Galley & Companionway Stairs,galley
/media/jim/DOS/Windsong-Sale/IMG_4277_HDR_2.jpg,Galley & Companionway Stairs,salon
/media/jim/DOS/Windsong-Sale/IMG_4298_HDR_2.jpg,Salon Banquette,salon
/media/jim/DOS/Windsong-Sale/IMG_4307-HDR-Edit.jpg,Salon Half Large Table,salon
/media/jim/DOS/Windsong-Sale/IMG_4307_HDR_Edit.jpg,Salon Half Large Table,salon
/media/jim/DOS/Windsong-Sale/IMG_4312.jpg,,
/media/jim/DOS/Windsong-Sale/IMG_4315_HDR.jpg,"Guest Cabin ",guest cabin
/media/jim/DOS/Windsong-Sale/IMG_4327_HDR.jpg,Guest Head,guest head
/media/jim/DOS/Windsong-Sale/IMG_4339-HDR.jpg,Guest Head,guest head
/media/jim/DOS/Windsong-Sale/IMG_4339_HDR.jpg,Guest Head,guest head
/media/jim/DOS/Windsong-Sale/P1010023-2.jpg,Windsong Sailing,full hull
/media/jim/DOS/Windsong-Sale/P1010023_2.jpg,Windsong Sailing,hull
/media/jim/DOS/Windsong-Sale/P1010036-2.jpg,Windsong Sailing from Aft,full hull
/media/jim/DOS/Windsong-Sale/P1010036_2.jpg,Windsong Sailing from Aft,hull
/media/jim/DOS/Windsong-Sale/taswell_49_drawing__Windsong_2.jpg,Windsong Plans,hull
